weight logl Om Ob h ns s8 Mnu w scale_factor
0.000000000000000000e+00 -3.830402213358597510e+04 7.955212378829390474e-02 6.928063083577757908e-01 7.263559617532915347e-01 8.146366418113570873e-02 6.733729116944049409e-01 7.822930074897084252e-01 6.940775577285818176e-01 2.827647246323229391e-01
0.000000000000000000e+00 -3.426906677505072730e+04 2.960943526507765489e-01 9.375659993358510524e-01 8.476576508361364226e-01 3.097905592763658955e-01 7.705461956518944167e-01 3.413475621088026823e-01 6.937350185524674417e-01 2.656474217913167291e-01
0.000000000000000000e+00 -3.166606555849838696e+04 9.752999160853592642e-04 3.607360484804069678e-01 2.196351929545777848e-01 7.582895781432659188e-01 6.388722252759267972e-01 7.653073800882067568e-01 5.105287581189896784e-01 2.259370942545859684e-01
0.000000000000000000e+00 -3.118706952622089011e+04 1.579917581922337666e-01 8.342230219707252870e-01 3.328198071684850268e-01 1.638380229512468311e-01 9.498240740515996317e-01 8.940454020588655126e-01 5.857179037695451340e-01 2.792120061701034439e-01
0.000000000000000000e+00 -2.983013619678106625e+04 4.988649569021119667e-03 1.396764423882019823e-01 3.785031643216023589e-01 4.954522150155077354e-01 7.424499997315046063e-01 8.156893838272210040e-01 8.977342389346218976e-01 2.367431661995141878e-01
0.000000000000000000e+00 -2.924013163047608032e+04 8.679233968602606542e-02 8.941017949019022248e-01 2.293358204935993516e-01 7.919642047342868585e-01 6.300526032839482982e-01 7.678073710457519185e-01 1.191889177852171189e-01 2.104260460067403082e-01
0.000000000000000000e+00 -2.679820028125698445e+04 1.897571504256327923e-01 9.470584908516972433e-01 2.613673828407121480e-01 3.457111313368753658e-01 2.570354889467281190e-01 8.181030199897598720e-02 2.068088164418799835e-01 2.673581411031730193e-01
0.000000000000000000e+00 -2.572653895423998983e+04 5.483443603213264961e-01 6.861448901523166111e-01 2.931417691894450117e-01 1.444324401762708820e-02 8.823833826656978241e-01 2.389644169949447505e-01 3.424343401725072900e-01 2.931245394199186727e-01
0.000000000000000000e+00 -2.498294482093071929e+04 4.845780241361675733e-01 8.408514273255163207e-01 6.177162940126291746e-01 1.178387324603394903e-01 6.191374710436935436e-01 9.958844180255913558e-01 5.822672949285127020e-01 2.962141169622086734e-01
0.000000000000000000e+00 -2.331018251992412843e+04 3.534707458299788385e-01 8.281678148538234030e-01 1.737474805357029917e-01 6.133742003130602249e-01 5.923080387320603934e-01 8.477410301178304186e-01 6.537493177421568324e-01 2.619653993964790040e-01
0.000000000000000000e+00 -2.311913953126201159e+04 4.275298687381200446e-01 8.298836365921217206e-01 1.520435653830477518e-01 2.763354628841921956e-01 4.604908604670688854e-01 3.588808858902712284e-01 6.156867560170926623e-01 2.985379612491100287e-01
